response_variable_name	database_identifier	database_namespace	treatment	signal_intensity
OLFML2A	Q68BL7	uniprot	Virus 10h_3	0.0
UHRF1BP1	Q6BDS2	uniprot	Virus 10h_3	0.0
VASN	Q6EMK4	uniprot	Virus 10h_3	0.0
ZFAND6	Q6FIF0	uniprot	Virus 10h_3	0.0
PTRHD1	Q6GMV3	uniprot	Virus 10h_3	0.0
ELP2	Q6IA86	uniprot	Virus 10h_3	0.0
NIPBL	Q6KC79	uniprot	Virus 10h_3	0.0
RWDD4	Q6NW29	uniprot	Virus 10h_3	0.0
PTRF; CAVIN1	Q6NZI2	uniprot	Virus 10h_3	0.0
PRPF8	Q6P2Q9	uniprot	Virus 10h_3	0.0
CASC4	Q6P4E1	uniprot	Virus 10h_3	0.0
TTC37	Q6PGP7	uniprot	Virus 10h_3	0.0
DARS2	Q6PI48	uniprot	Virus 10h_3	0.0
ATAD2	Q6PL18	uniprot	Virus 10h_3	0.0
FIP1L1	Q6UN15	uniprot	Virus 10h_3	0.0
TMEM205	Q6UW68	uniprot	Virus 10h_3	0.0
CRELD2	Q6UXH1	uniprot	Virus 10h_3	0.273803719
APOOL	Q6UXV4	uniprot	Virus 10h_3	0.0
DNMBP	Q6XZF7	uniprot	Virus 10h_3	0.0
GIGYF2	Q6Y7W6	uniprot	Virus 10h_3	0.0
CCBL2; KYAT3	Q6YP21	uniprot	Virus 10h_3	0.0
UBE2R2	Q712K3	uniprot	Virus 10h_3	0.0
SUPT6H	Q7KZ85	uniprot	Virus 10h_3	0.0
SND1	Q7KZF4	uniprot	Virus 10h_3	0.0
DDX46	Q7L014	uniprot	Virus 10h_3	0.0
RRAGA	Q7L523	uniprot	Virus 10h_3	0.0
ENOSF1	Q7L5Y1	uniprot	Virus 10h_3	0.0
TAOK1	Q7L7X3	uniprot	Virus 10h_3	0.0
PHF5A	Q7RTV0	uniprot	Virus 10h_3	1.316472678
NUP54	Q7Z3B4	uniprot	Virus 10h_3	0.0
ATG9A	Q7Z3C6	uniprot	Virus 10h_3	0.0
MON2	Q7Z3U7	uniprot	Virus 10h_3	0.0
CLASP1	Q7Z460	uniprot	Virus 10h_3	0.0
DHX29	Q7Z478	uniprot	Virus 10h_3	0.0
TRMT11	Q7Z4G4	uniprot	Virus 10h_3	0.0
DCXR	Q7Z4W1	uniprot	Virus 10h_3	0.0
RABEPK	Q7Z6M1	uniprot	Virus 10h_3	0.0
MRPL55	Q7Z7F7	uniprot	Virus 10h_3	0.0
TMEM179B	Q7Z7N9	uniprot	Virus 10h_3	0.0
GALNT7	Q86SF2	uniprot	Virus 10h_3	0.0
SETD3	Q86TU7	uniprot	Virus 10h_3	0.0
ACOT1	Q86TX2	uniprot	Virus 10h_3	0.0
PABPN1	Q86U42	uniprot	Virus 10h_3	0.0
IQGAP3	Q86VI3	uniprot	Virus 10h_3	0.0
PPFIBP1	Q86W92	uniprot	Virus 10h_3	1.5101995330000002
ZC3HC1	Q86WB0	uniprot	Virus 10h_3	0.0
ANKLE2	Q86XL3	uniprot	Virus 10h_3	0.0
DDX42	Q86XP3	uniprot	Virus 10h_3	0.0
SPATS2	Q86XZ4	uniprot	Virus 10h_3	0.0
CPNE8	Q86YQ8	uniprot	Virus 10h_3	1.040123313
CAMK1D	Q8IU85	uniprot	Virus 10h_3	0.0
ERC1	Q8IUD2	uniprot	Virus 10h_3	0.0
NUDCD3	Q8IVD9	uniprot	Virus 10h_3	0.0
MCAT	Q8IVS2	uniprot	Virus 10h_3	0.0
ITPRIP	Q8IWB1	uniprot	Virus 10h_3	0.0
HSCB	Q8IWL3	uniprot	Virus 10h_3	0.0
SLC30A8	Q8IWU4	uniprot	Virus 10h_3	0.0
DNAJC10	Q8IXB1	uniprot	Virus 10h_3	0.0
RHOT2	Q8IXI1	uniprot	Virus 10h_3	0.0
MRPL41	Q8IXM3	uniprot	Virus 10h_3	0.0
DIS3L2	Q8IYB7	uniprot	Virus 10h_3	0.0
SUPV3L1	Q8IYB8	uniprot	Virus 10h_3	0.0
EXOC8	Q8IYI6	uniprot	Virus 10h_3	5.714921317000001
ABI1	Q8IZP0	uniprot	Virus 10h_3	0.0
CNPY4	Q8N129	uniprot	Virus 10h_3	0.0
CCAR2; KIAA1967	Q8N163	uniprot	Virus 10h_3	2.4161231130000003
NUP93	Q8N1F7	uniprot	Virus 10h_3	0.0
EHBP1L1	Q8N3D4	uniprot	Virus 10h_3	0.0
SYNPO	Q8N3V7	uniprot	Virus 10h_3	0.0
PNKD	Q8N490	uniprot	Virus 10h_3	0.0
PDCL2	Q8N4E4	uniprot	Virus 10h_3	0.0
TOMM5	Q8N4H5	uniprot	Virus 10h_3	0.0
OGFOD1	Q8N543	uniprot	Virus 10h_3	5.79213573
ATPAF2	Q8N5M1	uniprot	Virus 10h_3	0.0
TTC9C	Q8N5M4	uniprot	Virus 10h_3	0.0
OTUD6B	Q8N6M0	uniprot	Virus 10h_3	0.0
METTL13	Q8N6R0	uniprot	Virus 10h_3	0.0
PAF1	Q8N7H5	uniprot	Virus 10h_3	0.0
MRPL43	Q8N983	uniprot	Virus 10h_3	0.0
KRI1	Q8N9T8	uniprot	Virus 10h_3	0.0
PRPF38A	Q8NAV1	uniprot	Virus 10h_3	0.0
SPATA5	Q8NB90	uniprot	Virus 10h_3	0.0
SPC24	Q8NBT2	uniprot	Virus 10h_3	0.0
ATAD1	Q8NBU5	uniprot	Virus 10h_3	0.0
FAM134A; RETREG2	Q8NC44	uniprot	Virus 10h_3	0.0
NECAP1	Q8NC96	uniprot	Virus 10h_3	0.0
FAM98A	Q8NCA5	uniprot	Virus 10h_3	0.0
MCU	Q8NE86	uniprot	Virus 10h_3	0.0
VPS37A	Q8NEZ2	uniprot	Virus 10h_3	0.0
LPCAT1	Q8NF37	uniprot	Virus 10h_3	0.0
CDC26	Q8NHZ8	uniprot	Virus 10h_3	0.0
NCOA7	Q8NI08	uniprot	Virus 10h_3	0.0
MCFD2	Q8NI22	uniprot	Virus 10h_3	0.0
THOC2	Q8NI27	uniprot	Virus 10h_3	0.0
SMARCC2	Q8TAQ2	uniprot	Virus 10h_3	0.0
GDAP1	Q8TB36	uniprot	Virus 10h_3	0.0
UBA3	Q8TBC4	uniprot	Virus 10h_3	0.0
PNPT1	Q8TCS8	uniprot	Virus 10h_3	12.60680279
HM13	Q8TCT9	uniprot	Virus 10h_3	0.0
DDX54	Q8TDD1	uniprot	Virus 10h_3	0.0
PPIL4	Q8WUA2	uniprot	Virus 10h_3	0.0
NUP133	Q8WUM0	uniprot	Virus 10h_3	0.0
CHAC2	Q8WUX2	uniprot	Virus 10h_3	0.0
STAG1	Q8WVM7	uniprot	Virus 10h_3	0.0
SCFD1	Q8WVM8	uniprot	Virus 10h_3	0.0
HNRNPLL; HNRPLL	Q8WVV9	uniprot	Virus 10h_3	0.0
PRPF31	Q8WWY3	uniprot	Virus 10h_3	0.0
COBRA1; NELFB	Q8WX92	uniprot	Virus 10h_3	0.0
PSPC1	Q8WXF1	uniprot	Virus 10h_3	0.0
MUC16	Q8WXI7	uniprot	Virus 10h_3	0.0
LZIC	Q8WZA0	uniprot	Virus 10h_3	0.0
DDB2	Q92466	uniprot	Virus 10h_3	0.0
PIEZO1	Q92508	uniprot	Virus 10h_3	0.0
GBF1	Q92538	uniprot	Virus 10h_3	0.0
RTF1	Q92541	uniprot	Virus 10h_3	0.0
NCSTN	Q92542	uniprot	Virus 10h_3	0.0
TM9SF4	Q92544	uniprot	Virus 10h_3	0.0
MRPS27	Q92552	uniprot	Virus 10h_3	0.0
NDRG1	Q92597	uniprot	Virus 10h_3	0.0
Sep-08	Q92599	uniprot	Virus 10h_3	0.0
TBC1D5	Q92609	uniprot	Virus 10h_3	0.0
DHX38	Q92620	uniprot	Virus 10h_3	0.0
PIGK	Q92643	uniprot	Virus 10h_3	0.0
LEPREL4; P3H4	Q92791	uniprot	Virus 10h_3	0.0
RAD50	Q92878	uniprot	Virus 10h_3	0.0
ARHGEF1	Q92888	uniprot	Virus 10h_3	0.0
GLG1	Q92896	uniprot	Virus 10h_3	0.0
KHSRP	Q92945	uniprot	Virus 10h_3	2.8026243689999997
EMG1	Q92979	uniprot	Virus 10h_3	0.0
USP7	Q93009	uniprot	Virus 10h_3	4.9819468119999994
LPP	Q93052	uniprot	Virus 10h_3	0.0
TSR2	Q969E8	uniprot	Virus 10h_3	0.0
NT5C3B; NT5C3L	Q969T7	uniprot	Virus 10h_3	0.0
WBP2	Q969T9	uniprot	Virus 10h_3	0.0
FAM162A	Q96A26	uniprot	Virus 10h_3	0.0
EXOC4	Q96A65	uniprot	Virus 10h_3	0.0
FERMT2	Q96AC1	uniprot	Virus 10h_3	0.356577752
LRRC59	Q96AG4	uniprot	Virus 10h_3	0.0
FKBP10	Q96AY3	uniprot	Virus 10h_3	0.0
EFHD2	Q96C19	uniprot	Virus 10h_3	0.0
C12orf43	Q96C57	uniprot	Virus 10h_3	0.0
FAF2	Q96CS3	uniprot	Virus 10h_3	0.0
KCTD12	Q96CX2	uniprot	Virus 10h_3	0.0
FAM82B; RMDN1	Q96DB5	uniprot	Virus 10h_3	0.0
MRPL38	Q96DV4	uniprot	Virus 10h_3	0.0
MRRF	Q96E11	uniprot	Virus 10h_3	0.0
YIPF6	Q96EC8	uniprot	Virus 10h_3	0.0
KIAA1279; KIF1BP	Q96EK5	uniprot	Virus 10h_3	0.0
MRPS24	Q96EL2	uniprot	Virus 10h_3	0.0
MOCOS	Q96EN8	uniprot	Virus 10h_3	0.0
DAZAP1	Q96EP5	uniprot	Virus 10h_3	0.0
CCDC51	Q96ER9	uniprot	Virus 10h_3	0.0
EDC3	Q96F86	uniprot	Virus 10h_3	0.0
S100A16	Q96FQ6	uniprot	Virus 10h_3	0.0
OTUB1	Q96FW1	uniprot	Virus 10h_3	0.0
PGM2	Q96G03	uniprot	Virus 10h_3	0.0
MRPL48	Q96GC5	uniprot	Virus 10h_3	0.0
RBM17	Q96I25	uniprot	Virus 10h_3	0.0
AJUBA	Q96IF1	uniprot	Virus 10h_3	0.0
RSRC1	Q96IZ7	uniprot	Virus 10h_3	0.0
PDLIM2	Q96JY6	uniprot	Virus 10h_3	0.0
EXOC2	Q96KP1	uniprot	Virus 10h_3	0.0
RBM14; RBM14-RBM4	Q96PK6	uniprot	Virus 10h_3	0.0
QKI	Q96PU8	uniprot	Virus 10h_3	0.0
PUS7	Q96PZ0	uniprot	Virus 10h_3	1.3998767619999999
SLC38A2	Q96QD8	uniprot	Virus 10h_3	0.0
NUDCD1	Q96RS6	uniprot	Virus 10h_3	0.0
C16orf13; METTL26	Q96S19	uniprot	Virus 10h_3	0.0
TP53RK	Q96S44	uniprot	Virus 10h_3	0.0
PIGS	Q96S52	uniprot	Virus 10h_3	0.0
CLCC1	Q96S66	uniprot	Virus 10h_3	0.0
SIN3A	Q96ST3	uniprot	Virus 10h_3	0.0
CRBN	Q96SW2	uniprot	Virus 10h_3	0.0
RUFY1	Q96T51	uniprot	Virus 10h_3	0.0
UHRF1	Q96T88	uniprot	Virus 10h_3	0.0
TBCB	Q99426	uniprot	Virus 10h_3	0.0
PSMB7	Q99436	uniprot	Virus 10h_3	0.0
CNN2	Q99439	uniprot	Virus 10h_3	0.0
PSMD1	Q99460	uniprot	Virus 10h_3	0.0
NUP88	Q99567	uniprot	Virus 10h_3	0.0
POP1	Q99575	uniprot	Virus 10h_3	0.0
COPS8	Q99627	uniprot	Virus 10h_3	0.0
HSD17B10	Q99714	uniprot	Virus 10h_3	0.0
NAP1L4	Q99733	uniprot	Virus 10h_3	0.0
MGST2	Q99735	uniprot	Virus 10h_3	0.0
TSG101	Q99816	uniprot	Virus 10h_3	0.21486165399999999
	Q99996	uniprot	Virus 10h_3	0.0
PAIP2	Q9BPZ3	uniprot	Virus 10h_3	0.0
MRPL34	Q9BQ48	uniprot	Virus 10h_3	0.0
GRWD1	Q9BQ67	uniprot	Virus 10h_3	1.012476658
TUBA1C	Q9BQE3	uniprot	Virus 10h_3	0.0
BCL7B	Q9BQE9	uniprot	Virus 10h_3	0.0
AIFM2	Q9BRQ8	uniprot	Virus 10h_3	0.0
TRIM56	Q9BRZ2	uniprot	Virus 10h_3	0.0
NTPCR	Q9BSD7	uniprot	Virus 10h_3	1.9133723759999999
MCMBP	Q9BTE3	uniprot	Virus 10h_3	0.0
URM1	Q9BTM9	uniprot	Virus 10h_3	0.0
TUBB6	Q9BUF5	uniprot	Virus 10h_3	0.0
HNRNPUL1	Q9BUJ2	uniprot	Virus 10h_3	0.0
PDCD10	Q9BUL8	uniprot	Virus 10h_3	0.0
RPP25	Q9BUL9	uniprot	Virus 10h_3	0.0
DDX23	Q9BUQ8	uniprot	Virus 10h_3	0.0
BDH2	Q9BUT1	uniprot	Virus 10h_3	0.0
MRI1	Q9BV20	uniprot	Virus 10h_3	0.0
WDR18	Q9BV38	uniprot	Virus 10h_3	0.0
ADI1	Q9BV57	uniprot	Virus 10h_3	0.0
CXorf26; PBDC1	Q9BVG4	uniprot	Virus 10h_3	0.0
TMUB1	Q9BVT8	uniprot	Virus 10h_3	0.0
TIMM21	Q9BVV7	uniprot	Virus 10h_3	0.0
SFXN3	Q9BWM7	uniprot	Virus 10h_3	0.0
SLC4A1AP	Q9BWU0	uniprot	Virus 10h_3	0.0
BCL2L13	Q9BXK5	uniprot	Virus 10h_3	0.0
SRRT	Q9BXP5	uniprot	Virus 10h_3	0.0
FANCD2	Q9BXW9	uniprot	Virus 10h_3	0.0
CHMP4A	Q9BY43	uniprot	Virus 10h_3	0.0
MKI67IP; NIFK	Q9BYG3	uniprot	Virus 10h_3	0.0
NUF2	Q9BZD4	uniprot	Virus 10h_3	0.0
WDR11	Q9BZH6	uniprot	Virus 10h_3	0.0
UCK2	Q9BZX2	uniprot	Virus 10h_3	0.0
TRIM2	Q9C040	uniprot	Virus 10h_3	0.0
DDX24	Q9GZR7	uniprot	Virus 10h_3	0.0
WDR61	Q9GZS3	uniprot	Virus 10h_3	0.0
NIF3L1	Q9GZT8	uniprot	Virus 10h_3	0.0
PAIP1	Q9H074	uniprot	Virus 10h_3	0.0
CLPB	Q9H078	uniprot	Virus 10h_3	0.0
NAT10	Q9H0A0	uniprot	Virus 10h_3	0.0
KLC2	Q9H0B6	uniprot	Virus 10h_3	0.0
CSTF2T	Q9H0L4	uniprot	Virus 10h_3	0.0
TSPAN10	Q9H1Z9	uniprot	Virus 10h_3	0.0
SH3BGRL3	Q9H299	uniprot	Virus 10h_3	0.0
SLK	Q9H2G2	uniprot	Virus 10h_3	0.0
DPH5	Q9H2P9	uniprot	Virus 10h_3	0.0
SPNS1	Q9H2V7	uniprot	Virus 10h_3	0.0
TMX1	Q9H3N1	uniprot	Virus 10h_3	0.0
NELFA; WHSC2	Q9H3P2	uniprot	Virus 10h_3	0.0
GOLPH3L	Q9H4A5	uniprot	Virus 10h_3	0.0
GOLPH3	Q9H4A6	uniprot	Virus 10h_3	1.604149225
GLIPR2	Q9H4G4	uniprot	Virus 10h_3	0.0
SMARCAD1	Q9H4L7	uniprot	Virus 10h_3	0.0
HAUS4	Q9H6D7	uniprot	Virus 10h_3	0.0
RANBP3	Q9H6Z4	uniprot	Virus 10h_3	0.0
DCTPP1	Q9H773	uniprot	Virus 10h_3	0.0
SH2D4A	Q9H788	uniprot	Virus 10h_3	0.0
PTGES2	Q9H7Z7	uniprot	Virus 10h_3	0.0
PHAX	Q9H814	uniprot	Virus 10h_3	0.0
ACAD9	Q9H845	uniprot	Virus 10h_3	0.0
LRRC40	Q9H9A6	uniprot	Virus 10h_3	0.0
VIPAS39	Q9H9C1	uniprot	Virus 10h_3	0.0
COG4	Q9H9E3	uniprot	Virus 10h_3	0.0
VPS37B	Q9H9H4	uniprot	Virus 10h_3	0.0
COPS7B	Q9H9Q2	uniprot	Virus 10h_3	0.0
CACYBP	Q9HB71	uniprot	Virus 10h_3	0.0
RRAGC	Q9HB90	uniprot	Virus 10h_3	0.0
ATP6V0A4	Q9HBG4	uniprot	Virus 10h_3	7.096731192000001
TMEM165	Q9HC07	uniprot	Virus 10h_3	0.0
CBX8	Q9HC52	uniprot	Virus 10h_3	0.0
SDF2L1	Q9HCN8	uniprot	Virus 10h_3	0.0
XAB2	Q9HCS7	uniprot	Virus 10h_3	0.0
TM9SF3	Q9HD45	uniprot	Virus 10h_3	0.0
ABCB6	Q9NP58	uniprot	Virus 10h_3	0.0
VTA1	Q9NP79	uniprot	Virus 10h_3	0.0
MRPS30	Q9NP92	uniprot	Virus 10h_3	0.0
DMAP1	Q9NPF5	uniprot	Virus 10h_3	0.0
LUC7L	Q9NQ29	uniprot	Virus 10h_3	0.0
RPRD1B	Q9NQG5	uniprot	Virus 10h_3	0.0
PFDN4	Q9NQP4	uniprot	Virus 10h_3	0.0
POLE3	Q9NRF9	uniprot	Virus 10h_3	0.0
ABCB10	Q9NRK6	uniprot	Virus 10h_3	0.0
AASDHPPT	Q9NRN7	uniprot	Virus 10h_3	0.0
IARS2	Q9NSE4	uniprot	Virus 10h_3	0.0
SACM1L	Q9NTJ5	uniprot	Virus 10h_3	0.0
ECHDC1	Q9NTX5	uniprot	Virus 10h_3	0.0
LMBRD1	Q9NUN5	uniprot	Virus 10h_3	0.0
LIN7C	Q9NUP9	uniprot	Virus 10h_3	0.0
FAM49B	Q9NUQ9	uniprot	Virus 10h_3	0.0
TBC1D23	Q9NUY8	uniprot	Virus 10h_3	0.0
PARVA	Q9NVD7	uniprot	Virus 10h_3	0.0
ARL8B	Q9NVJ2	uniprot	Virus 10h_3	0.0
PRMT7	Q9NVM4	uniprot	Virus 10h_3	0.0
DDX18	Q9NVP1	uniprot	Virus 10h_3	0.0
RBM22	Q9NW64	uniprot	Virus 10h_3	0.0
SLTM	Q9NWH9	uniprot	Virus 10h_3	0.0
MRPL22	Q9NWU5	uniprot	Virus 10h_3	0.0
C1orf123	Q9NWV4	uniprot	Virus 10h_3	0.0
MRPL16	Q9NX20	uniprot	Virus 10h_3	0.0
LYAR	Q9NX58	uniprot	Virus 10h_3	0.0
TEX10	Q9NXF1	uniprot	Virus 10h_3	0.0
THUMPD1	Q9NXG2	uniprot	Virus 10h_3	0.0
CDKN2AIP	Q9NXV6	uniprot	Virus 10h_3	0.0
DNAJB12	Q9NXW2	uniprot	Virus 10h_3	0.0
GAR1	Q9NY12	uniprot	Virus 10h_3	9.882572146000001
ZAK; MAP3K20	Q9NYL2	uniprot	Virus 10h_3	0.0
C9orf78	Q9NZ63	uniprot	Virus 10h_3	0.0
FAM120A	Q9NZB2	uniprot	Virus 10h_3	0.0
IGF2BP1	Q9NZI8	uniprot	Virus 10h_3	0.0
MTCH1	Q9NZJ7	uniprot	Virus 10h_3	0.0
MYOF	Q9NZM1	uniprot	Virus 10h_3	0.0
EMC3	Q9P0I2	uniprot	Virus 10h_3	0.0
TMEM14C	Q9P0S9	uniprot	Virus 10h_3	0.0
TMEM9	Q9P0T7	uniprot	Virus 10h_3	0.0
RCC2	Q9P258	uniprot	Virus 10h_3	0.0
CTTNBP2NL	Q9P2B4	uniprot	Virus 10h_3	0.0
SUCLA2	Q9P2R7	uniprot	Virus 10h_3	0.0
ATXN10	Q9UBB4	uniprot	Virus 10h_3	0.0
NCDN	Q9UBB6	uniprot	Virus 10h_3	0.0
EPS15L1	Q9UBC2	uniprot	Virus 10h_3	0.0
MRC2	Q9UBG0	uniprot	Virus 10h_3	0.0
GNG12	Q9UBI6	uniprot	Virus 10h_3	0.0
EIF3K	Q9UBQ5	uniprot	Virus 10h_3	0.0
DNAJB11	Q9UBS4	uniprot	Virus 10h_3	2.014295447
SLC25A10	Q9UBX3	uniprot	Virus 10h_3	0.0
ADD3	Q9UEY8	uniprot	Virus 10h_3	0.0
SRP68	Q9UHB9	uniprot	Virus 10h_3	0.0
PUF60	Q9UHX1	uniprot	Virus 10h_3	0.0
ENOPH1	Q9UHY7	uniprot	Virus 10h_3	0.0
XPO7	Q9UIA9	uniprot	Virus 10h_3	0.0
BAZ1B	Q9UIG0	uniprot	Virus 10h_3	0.0
LNPEP	Q9UIQ6	uniprot	Virus 10h_3	0.0
HOOK1	Q9UJC3	uniprot	Virus 10h_3	0.0
MRTO4	Q9UKD2	uniprot	Virus 10h_3	0.0
APPL1	Q9UKG1	uniprot	Virus 10h_3	0.0
GPATCH8	Q9UKJ3	uniprot	Virus 10h_3	0.0
RALY	Q9UKM9	uniprot	Virus 10h_3	0.0
GTF3C4	Q9UKN8	uniprot	Virus 10h_3	0.0
PACSIN3	Q9UKS6	uniprot	Virus 10h_3	0.0
NUP50	Q9UKX7	uniprot	Virus 10h_3	0.0
KIDINS220	Q9ULH0	uniprot	Virus 10h_3	0.0
MYO6	Q9UM54	uniprot	Virus 10h_3	0.0
PRPF19	Q9UMS4	uniprot	Virus 10h_3	0.0
UBQLN1	Q9UMX0	uniprot	Virus 10h_3	0.0
NENF	Q9UMX5	uniprot	Virus 10h_3	0.0
PACSIN2	Q9UNF0	uniprot	Virus 10h_3	0.0
WDR3	Q9UNX4	uniprot	Virus 10h_3	0.0
NSFL1C	Q9UNZ2	uniprot	Virus 10h_3	0.0
EXOC7	Q9UPT5	uniprot	Virus 10h_3	0.0
PA2G4	Q9UQ80	uniprot	Virus 10h_3	0.0
C14orf166; RTRAF	Q9Y224	uniprot	Virus 10h_3	0.0
NUDC	Q9Y266	uniprot	Virus 10h_3	0.0
FARSA	Q9Y285	uniprot	Virus 10h_3	2.097328358
ASF1A	Q9Y294	uniprot	Virus 10h_3	0.0
AKAP2; PALM2-AKAP2	Q9Y2D5	uniprot	Virus 10h_3	0.0
TRAPPC8	Q9Y2L5	uniprot	Virus 10h_3	0.0
AP3M1	Q9Y2T2	uniprot	Virus 10h_3	0.0
THRAP3	Q9Y2W1	uniprot	Virus 10h_3	0.0
TMX2	Q9Y320	uniprot	Virus 10h_3	0.7872849059999999
LSM2	Q9Y333	uniprot	Virus 10h_3	0.0
RRP7A	Q9Y3A4	uniprot	Virus 10h_3	3.866984515
SBDS	Q9Y3A5	uniprot	Virus 10h_3	0.0
EXOSC1	Q9Y3B2	uniprot	Virus 10h_3	0.0
PPIL1	Q9Y3C6	uniprot	Virus 10h_3	0.0
UFC1	Q9Y3C8	uniprot	Virus 10h_3	0.0
MSRB2	Q9Y3D2	uniprot	Virus 10h_3	0.0
PAM16	Q9Y3D7	uniprot	Virus 10h_3	0.0
AK6; TAF9	Q9Y3D8	uniprot	Virus 10h_3	0.0
CHMP3; RNF103-CHMP3	Q9Y3E7	uniprot	Virus 10h_3	0.0
C22orf28; RTCB	Q9Y3I0	uniprot	Virus 10h_3	0.0
RABGAP1	Q9Y3P9	uniprot	Virus 10h_3	0.0
CHTOP	Q9Y3Y2	uniprot	Virus 10h_3	0.478856813
SAMHD1	Q9Y3Z3	uniprot	Virus 10h_3	0.0
USP15	Q9Y4E8	uniprot	Virus 10h_3	0.0
ATG4B	Q9Y4P1	uniprot	Virus 10h_3	0.0
AFG3L2	Q9Y4W6	uniprot	Virus 10h_3	0.0
ARIH1	Q9Y4X5	uniprot	Virus 10h_3	0.0
SAMM50	Q9Y512	uniprot	Virus 10h_3	0.0
HSPB11	Q9Y547	uniprot	Virus 10h_3	0.0
TNPO3	Q9Y5L0	uniprot	Virus 10h_3	0.0
LRRFIP2	Q9Y608	uniprot	Virus 10h_3	0.44983168700000004
NPTN	Q9Y639	uniprot	Virus 10h_3	0.0
ALG5	Q9Y673	uniprot	Virus 10h_3	0.0
MRPL42	Q9Y6G3	uniprot	Virus 10h_3	0.0
DYNC1LI1	Q9Y6G9	uniprot	Virus 10h_3	0.0
CEPT1	Q9Y6K0	uniprot	Virus 10h_3	0.0
MYL12B; MYL12A	O14950	uniprot	Virus 10h_3	
CKMT1B; CKMT1A	P12532	uniprot	Virus 10h_3	
ARF3	P61204	uniprot	Virus 10h_3	
TCEAL5	Q5H9L2	uniprot	Virus 10h_3	
HIST2H3A; HIST2H3C; HIST2H3D	Q71DI3	uniprot	Virus 10h_3	
AFP	P02771	uniprot	Virus 24h_1	0.0
FABP1	P07148	uniprot	Virus 24h_1	183.2545753
VIL1	P09327	uniprot	Virus 24h_1	90.97727418
KRT18	P05783	uniprot	Virus 24h_1	247.29018399999998
	Q9P2E9	uniprot	Virus 24h_1	148.4424624
ANXA4	P09525	uniprot	Virus 24h_1	164.15224019999997
KRT8	P05787	uniprot	Virus 24h_1	557.075381
MUC13	Q9H3R2	uniprot	Virus 24h_1	61.33447487
CDH17	Q12864	uniprot	Virus 24h_1	45.78490024
LGALS3	P17931	uniprot	Virus 24h_1	110.3889134
SERPINA1	P01009	uniprot	Virus 24h_1	0.0
IDH1	O75874	uniprot	Virus 24h_1	106.07648300000001
C16orf62	Q7Z3J2	uniprot	Virus 24h_1	837.55293
TTR	P02766	uniprot	Virus 24h_1	0.0
FLNB	O75369	uniprot	Virus 24h_1	160.306221
HSPA1B; HSPA1A	P0DMV9	uniprot	Virus 24h_1	151.5100945
RPL4	P36578	uniprot	Virus 24h_1	65.50703062
JUP	P14923	uniprot	Virus 24h_1	90.51954707
CKB	P12277	uniprot	Virus 24h_1	132.21191149999999
SLC9A3R1	O14745	uniprot	Virus 24h_1	23.16724524
ALDH1A1	P00352	uniprot	Virus 24h_1	20.09214461
PDIA3	P30101	uniprot	Virus 24h_1	18.12000907
KRT20	P35900	uniprot	Virus 24h_1	0.0
HSPA5	P11021	uniprot	Virus 24h_1	0.0
AHNAK	Q09666	uniprot	Virus 24h_1	80.51798267
H1F0	P07305	uniprot	Virus 24h_1	50.59855108
APOA1	P02647	uniprot	Virus 24h_1	0.0
GAPDH	P04406	uniprot	Virus 24h_1	397.6302433
OAT	P04181	uniprot	Virus 24h_1	6.341417638999999
HIST1H1C	P16403	uniprot	Virus 24h_1	129.1023717
SF3A1	Q15459	uniprot	Virus 24h_1	245.4229312
ALDH18A1	P54886	uniprot	Virus 24h_1	15.81293719
SUCLG2	Q96I99	uniprot	Virus 24h_1	95.30416837
CYP51A1	Q16850	uniprot	Virus 24h_1	24.46459224
DDX5	P17844	uniprot	Virus 24h_1	111.124994
EEF1A1	P68104	uniprot	Virus 24h_1	52.13113496
NPM1	P06748	uniprot	Virus 24h_1	28.13838956
RPL15	P61313	uniprot	Virus 24h_1	154.7680912
LRPPRC	P42704	uniprot	Virus 24h_1	85.83081973
GSTP1	P09211	uniprot	Virus 24h_1	225.30344419999997
DPP4	P27487	uniprot	Virus 24h_1	21.50272219
HSPA8	P11142	uniprot	Virus 24h_1	164.92788969999998
MARCKS	P29966	uniprot	Virus 24h_1	75.12766089
LGALS3BP	Q08380	uniprot	Virus 24h_1	83.9156505
HIST1H1E	P10412	uniprot	Virus 24h_1	115.984477
PSAP	P07602	uniprot	Virus 24h_1	31.65338464
SFPQ	P23246	uniprot	Virus 24h_1	118.523473
UGDH	O60701	uniprot	Virus 24h_1	0.0
DSP	P15924	uniprot	Virus 24h_1	52.59508189
RPS5	P46782	uniprot	Virus 24h_1	179.80872030000003
CTSB	P07858	uniprot	Virus 24h_1	24.13393295
RPL35	P42766	uniprot	Virus 24h_1	24.48611891
LDHA	P00338	uniprot	Virus 24h_1	176.2609889
TFRC	P02786	uniprot	Virus 24h_1	0.0
PDIA6	Q15084	uniprot	Virus 24h_1	163.50357830000002
HNRNPM	P52272	uniprot	Virus 24h_1	195.8727917
CHMP2B	Q9UQN3	uniprot	Virus 24h_1	56.60809736
HNRNPA1	P09651	uniprot	Virus 24h_1	438.7459938999999
MDH2	P40926	uniprot	Virus 24h_1	75.04834594
TMBIM6	P55061	uniprot	Virus 24h_1	7.896377519
ACAA2	P42765	uniprot	Virus 24h_1	55.58156474
TAGLN2	P37802	uniprot	Virus 24h_1	151.66635380000002
